team,conference,division,rating,inaugural_season,points
Toronto Maple Leafs,eastern,atlantic,1500,1917,105
Montreal Canadiens,eastern,atlantic,1500,1917,71
Boston Bruins,eastern,atlantic,1500,1924,112
Detroit Red Wings,eastern,atlantic,1500,1926,73
Buffalo Sabres,eastern,atlantic,1400,1970,62
Ottawa Senators,eastern,atlantic,1400,1992,67
Tampa Bay Lightning,eastern,atlantic,1400,1992,113
Florida Panthers,eastern,atlantic,1400,1993,96
New York Rangers,eastern,metropolitan,1500,1926,77
Pittsburgh Penguins,eastern,metropolitan,1400,1967,100
Philadelphia Flyers,eastern,metropolitan,1400,1967,98
New York Islanders,eastern,metropolitan,1400,1972,80
Washington Capitals,eastern,metropolitan,1400,1974,105
New Jersey Devils,eastern,metropolitan,1400,1974,97
Carolina Hurricanes,eastern,metropolitan,1400,1979,83
Columbus Blue Jackets,eastern,metropolitan,1400,2000,97
Chicago Blackhawks,western,central,1500,1926,76
Dallas Stars,western,central,1400,1967,92
St. Louis Blues,western,central,1400,1967,94
Colorado Avalanche,western,central,1400,1979,95
Nashville Predators,western,central,1400,1998,117
Winnipeg Jets,western,central,1400,1999,114
Minnesota Wild,western,central,1400,2000,101
Los Angeles Kings,western,pacific,1400,1967,98
Vancouver Canucks,western,pacific,1400,1970,73
Calgary Flames,western,pacific,1400,1972,84
Arizona Coyotes,western,pacific,1400,1979,70
Edmonton Oilers,western,pacific,1400,1979,78
San Jose Sharks,western,pacific,1400,1991,100
Anaheim Ducks,western,pacific,1400,1993,101
Vegas Golden Knights,western,pacific,1400,2017,109
Ottawa Senators (1st),NA,NA,1500,1917,NA
Montreal Wanderers,NA,NA,1500,1917,NA
New York Americans,NA,NA,1500,1925,NA
Montreal Maroons,NA,NA,1500,1924,NA
Pittsburgh Pirates,NA,NA,1500,1925,NA
Cleveland Barons,NA,NA,1400,1967,NA